"Date","Brawl Stars Revenue ($)","Clash of Clans Revenue ($)","Clash Royale Revenue ($)","Hay Day Revenue ($)","Squad Busters Revenue ($)","Boom Beach: War Strategy Game Revenue ($)","mo.co Revenue ($)"
"2025-05-25","1,017,290.35","742,809.69","920,597.99","383,268.58","28,293.27","49,531.55","11,745.62"
"2025-05-26","843,098.82","825,418.86","929,492.43","353,792.39","23,894.83","68,955.28","10,308.34"
"2025-05-27","786,346.80","688,710.40","855,824.34","312,875.18","21,193.17","53,166.82","10,105.30"
"2025-05-28","1,338,422.21","679,335.39","946,472.26","348,787.82","20,652.10","47,679.44","10,513.24"
"2025-05-29","1,394,376.76","730,690.20","1,017,980.18","326,475.48","20,012.99","44,157.19","9,267.23"
"2025-05-30","1,364,067.94","927,504.74","1,349,811.64","328,419.78","27,891.62","51,206.43","8,102.33"
"2025-05-31","1,081,743.07","891,906.12","1,286,709.74","391,828.88","29,588.93","47,045.25","7,092.92"
"2025-06-01","1,096,580.54","2,220,776.25","1,319,175.28","968,058.37","78,061.53","47,264.69","7,050.94"
"2025-06-02","755,775.97","1,697,482.79","1,919,180.90","677,806.02","71,741.04","41,163.15","5,937.61"
"2025-06-03","672,148.74","1,452,308.25","1,769,158.94","555,812.70","47,974.01","34,125.78","4,782.82"
"2025-06-04","645,669.42","1,205,485.02","1,451,058.91","517,526.34","35,976.42","28,089.48","4,382.80"
"2025-06-05","1,700,928.93","1,081,910.23","1,414,160.70","461,502.63","36,898.13","33,783.55","5,206.79"
"2025-06-06","1,927,290.04","1,178,588.96","1,658,820.07","475,001.69","34,296.85","36,272.08","6,460.90"
"2025-06-07","1,486,056.92","998,620.71","1,328,783.88","446,749.49","31,768.65","32,563.76","6,633.79"
"2025-06-08","1,212,150.92","923,507.94","1,494,990.53","519,424.50","29,424.61","35,675.20","5,787.59"
"2025-06-09","1,014,635.05","801,264.45","1,184,590.83","407,276.38","18,498.25","29,271.58","5,082.81"
"2025-06-10","953,707.54","1,168,796.07","1,125,658.19","499,199.82","20,563.18","27,231.73","4,884.88"
"2025-06-11","914,763.42","1,176,742.36","1,158,343.72","461,056.30","19,873.25","23,697.51","4,297.39"
"2025-06-12","924,639.28","1,081,214.83","1,249,760.91","508,232.95","17,973.80","29,238.56","4,509.98"
"2025-06-13","904,977.56","1,198,777.95","1,652,805.86","566,558.28","18,210.27","35,081.85","6,172.70"
"2025-06-14","865,100.74","957,603.98","1,465,829.47","566,549.62","16,963.99","26,892.46","5,423.56"
"2025-06-15","815,115.55","838,274.23","1,428,724.75","497,833.95","17,261.98","27,814.88","5,598.27"
"2025-06-16","630,739.61","745,808.32","1,111,069.50","435,230.79","15,025.35","25,166.75","6,028.13"
"2025-06-17","596,911.79","846,551.06","1,333,880.66","457,578.31","42,895.44","81,413.37","9,028.74"
"2025-06-18","590,796.04","897,731.88","1,379,042.28","420,233.69","54,424.26","68,868.90","7,497.36"
"2025-06-19","594,863.71","791,071.16","1,263,816.08","403,431.91","47,616.55","64,548.96","6,483.61"
"2025-06-20","666,180.91","937,326.60","1,535,291.90","369,290.22","52,113.14","96,261.16","6,488.48"
"2025-06-21","740,458.71","762,296.41","1,324,421.32","331,587.25","50,035.57","85,013.35","5,560.18"
"2025-06-22","738,170.23","684,307.98","1,330,062.71","287,948.82","41,462.83","82,132.53","4,889.11"
"2025-06-23","677,995.95","633,860.09","1,149,853.61","348,704.35","36,200.59","95,140.51","4,298.93"
"2025-06-24","846,928.81","595,118.02","1,115,446.73","445,381.99","30,374.67","72,322.08","6,469.59"
"2025-06-25","1,065,542.81","768,657.35","1,215,450.60","422,572.97","27,315.83","59,377.87","7,956.03"
"2025-06-26","1,151,305.83","787,134.71","1,219,958.83","347,727.22","30,678.66","54,938.58","7,366.93"
"2025-06-27","1,314,164.13","978,711.82","1,646,217.92","400,870.77","32,531.43","68,515.99","8,703.31"
"2025-06-28","1,109,871.66","766,194.99","1,401,114.03","420,982.25","28,624.35","58,919.00","8,906.79"
"2025-06-29","987,123.81","741,244.88","1,383,353.02","365,127.25","24,914.08","54,771.72","7,879.92"
"2025-06-30","798,041.09","744,350.84","1,223,990.66","375,116.80","24,856.70","45,013.55","8,879.64"
"2025-07-01","868,992.95","1,917,841.57","1,362,769.17","1,042,989.79","58,157.57","43,816.63","17,850.46"
"2025-07-02","757,764.30","1,627,300.68","1,438,407.21","795,434.94","52,369.53","39,684.92","14,715.02"
"2025-07-03","1,763,346.74","1,423,995.68","1,520,612.14","659,541.57","42,805.76","40,352.45","12,682.71"
"2025-07-04","1,871,966.42","1,434,358.61","1,847,595.85","555,587.71","42,830.67","43,442.05","11,370.28"
"2025-07-05","1,446,731.04","1,088,551.20","1,482,053.88","465,742.16","36,627.21","34,084.35","9,930.07"
"2025-07-06","1,299,449.75","1,003,484.83","1,649,174.16","453,029.96","37,387.43","35,097.13","9,451.72"
"2025-07-07","979,052.59","850,126.04","2,579,473.46","326,509.88","36,895.77","32,692.35","8,540.91"
"2025-07-08","954,318.09","780,392.50","2,384,716.11","351,139.33","32,924.42","27,136.59","7,647.92"
"2025-07-09","830,425.85","752,269.54","2,088,536.00","468,291.11","22,628.53","24,415.14","7,740.86"
"2025-07-10","786,114.07","938,179.50","2,038,426.82","526,570.30","20,524.99","28,917.46","15,895.63"
"2025-07-11","788,273.38","1,073,193.26","2,320,303.18","516,410.84","17,810.42","51,728.84","20,448.86"
"2025-07-12","714,052.32","868,147.37","1,869,139.24","511,240.35","15,608.22","50,250.86","23,980.47"
"2025-07-13","672,254.87","846,092.37","1,784,776.64","477,895.17","14,389.37","46,225.04","24,394.03"
"2025-07-14","537,339.27","757,953.23","1,569,941.62","356,794.07","11,469.51","42,593.70","22,791.80"
"2025-07-15","583,012.28","891,656.53","1,587,710.85","334,733.09","9,096.93","33,427.77","24,544.17"
"2025-07-16","581,480.10","856,336.13","1,518,002.11","400,221.12","7,430.44","28,904.14","23,104.56"
"2025-07-17","1,329,263.51","863,753.61","1,590,886.87","429,850.40","7,578.44","29,198.34","23,479.15"
"2025-07-18","1,394,780.46","808,574.26","1,933,866.68","404,999.06","8,685.52","39,335.73","25,681.36"
"2025-07-19","1,153,464.51","703,244.58","1,794,530.66","356,780.72","8,714.02","36,703.14","24,624.35"
"2025-07-20","979,060.91","647,444.42","1,822,680.96","357,924.88","7,735.29","34,859.91","25,226.28"
"2025-07-21","829,573.80","596,927.26","1,767,643.03","309,198.35","6,781.90","29,542.61","22,991.27"
"2025-07-22","801,606.27","548,826.41","1,396,063.98","309,358.70","6,410.02","24,101.16","21,064.14"
"2025-07-23","789,983.67","639,402.12","1,575,307.90","338,440.74","6,046.42","24,768.34","22,875.28"
"2025-07-24","910,109.54","651,611.14","1,822,011.76","415,850.26","13,044.96","27,172.04","34,450.78"
"2025-07-25","936,191.17","614,055.03","1,944,461.97","445,076.36","17,887.95","51,627.59","34,719.85"
"2025-07-26","875,855.70","674,957.33","1,775,583.23","380,007.29","15,663.92","50,492.52","29,189.24"
